GapStart,GapEnd,DurationMinutes
2014-04-15 18:54,2014-04-15 18:56,2
2014-04-15 19:16,2014-04-15 19:18,2
2014-04-18 22:47,2014-04-18 22:49,2
2014-04-24 17:30,2014-04-24 17:32,2
2014-04-29 18:00,2014-04-29 18:02,2
2014-05-05 19:34,2014-05-05 19:36,2
2014-05-13 22:24,2014-05-13 22:26,2
2014-05-14 19:04,2014-05-14 19:06,2
2014-05-30 09:09,2014-05-30 09:11,2
2014-06-07 23:03,2014-06-07 23:05,2
2014-06-14 00:40,2014-06-14 00:42,2
2014-06-23 23:52,2014-06-23 23:54,2
2014-06-24 18:42,2014-06-24 18:44,2
2014-06-26 02:51,2014-06-26 02:53,2
2014-06-30 21:29,2014-06-30 21:31,2
2014-06-30 23:11,2014-06-30 23:13,2
2014-07-01 22:55,2014-07-01 22:57,2
2014-07-01 23:55,2014-07-01 23:57,2
2014-07-02 19:22,2014-07-02 19:24,2
2014-07-04 20:17,2014-07-04 20:19,2
2014-07-07 02:41,2014-07-07 02:43,2
2014-07-11 12:38,2014-07-11 12:40,2
2014-07-12 22:23,2014-07-12 22:25,2
2014-07-13 16:37,2014-07-13 16:39,2
2014-07-17 10:31,2014-07-17 10:33,2
2014-07-19 20:13,2014-07-19 20:15,2
2014-07-21 06:42,2014-07-21 06:44,2
2014-07-21 21:59,2014-07-21 22:01,2
2014-07-22 19:29,2014-07-22 19:31,2
2014-07-26 23:52,2014-08-09 13:13,19521
2014-08-11 20:49,2014-08-11 20:51,2
2014-08-13 22:01,2014-08-13 22:03,2
2014-08-14 10:42,2014-08-14 10:44,2
2014-09-04 20:49,2014-09-04 20:51,2
2014-09-08 16:34,2014-09-11 18:13,4419
2014-09-17 18:57,2014-09-17 18:59,2
2014-09-20 19:05,2014-09-20 19:07,2
2014-09-20 19:12,2014-09-20 19:14,2
2014-09-27 00:48,2014-09-27 00:50,2
2014-10-05 15:28,2014-10-05 15:30,2
2014-10-16 16:17,2014-10-16 16:19,2
2014-10-25 11:34,2014-10-25 11:36,2
2014-10-31 22:03,2014-10-31 22:05,2
2014-11-01 08:50,2014-11-01 08:52,2
2014-11-18 18:23,2014-11-18 18:25,2
2014-11-20 15:53,2014-11-20 15:55,2
2014-11-21 15:14,2014-11-21 15:16,2
2014-12-04 19:38,2014-12-04 19:40,2
2014-12-07 18:46,2014-12-07 18:48,2
2014-12-17 19:01,2014-12-17 19:03,2
2014-12-23 18:29,2014-12-23 18:31,2
2014-12-23 20:34,2014-12-23 20:36,2
2014-12-31 17:27,2014-12-31 17:29,2
2015-01-18 16:58,2015-01-18 17:00,2
2015-01-31 23:48,2015-01-31 23:50,2
2015-02-01 17:25,2015-02-01 17:27,2
2015-02-01 19:11,2015-02-01 19:13,2
2015-02-01 21:25,2015-02-01 21:27,2
2015-02-02 10:21,2015-02-02 10:23,2
2015-02-08 11:44,2015-02-08 11:46,2
2015-02-21 16:37,2015-02-21 16:39,2
2015-03-02 20:43,2015-03-02 20:45,2
2015-03-14 11:44,2015-04-09 16:04,37700
2015-04-12 17:54,2015-04-12 17:56,2
2015-04-13 17:32,2015-04-13 17:34,2
2015-04-13 19:49,2015-04-13 19:51,2
2015-04-14 23:14,2015-04-14 23:16,2
2015-04-15 09:39,2015-04-15 09:41,2
2015-04-15 11:32,2015-04-15 11:34,2
2015-04-15 12:50,2015-04-15 12:52,2
2015-04-20 15:17,2015-04-20 15:19,2
2015-04-20 16:17,2015-04-20 16:19,2
2015-04-20 19:52,2015-04-20 19:54,2
2015-04-20 22:23,2015-04-20 22:25,2
2015-04-21 00:25,2015-04-21 00:27,2
2015-04-21 00:38,2015-04-21 00:40,2
2015-04-21 00:51,2015-04-21 00:53,2
2015-04-21 01:04,2015-04-21 01:06,2
2015-04-21 01:17,2015-04-21 01:19,2
2015-04-21 01:30,2015-04-21 01:32,2
2015-04-21 01:43,2015-04-21 01:45,2
2015-04-21 01:56,2015-04-21 01:58,2
2015-04-21 02:22,2015-04-21 02:24,2
2015-04-22 16:40,2015-04-22 16:42,2
2015-04-29 19:36,2015-04-29 19:38,2
2015-05-01 19:37,2015-05-01 19:39,2
2015-05-01 19:58,2015-05-01 20:00,2
2015-05-03 20:46,2015-05-03 20:48,2
2015-05-05 16:09,2015-05-05 16:11,2
2015-05-06 20:23,2015-05-06 20:25,2
2015-05-08 18:45,2015-05-08 18:47,2
2015-05-08 21:40,2015-05-08 21:42,2
2015-05-10 08:37,2015-05-10 08:39,2
2015-05-18 21:18,2015-05-18 21:20,2
2015-05-19 10:52,2015-05-19 10:54,2
2015-05-27 11:50,2015-05-27 11:52,2
2015-05-27 15:09,2015-05-27 15:11,2
2015-05-30 06:12,2015-05-30 06:14,2
2015-05-30 14:32,2015-05-30 14:34,2
2015-05-31 10:23,2015-05-31 10:25,2
2015-05-31 19:13,2015-05-31 19:15,2
2015-05-31 19:16,2015-05-31 19:18,2
2015-05-31 19:59,2015-05-31 20:01,2
2015-06-03 19:52,2015-06-03 19:54,2
2015-06-07 18:14,2015-06-07 18:16,2
2015-06-07 19:03,2015-06-07 19:05,2
2015-06-08 14:08,2015-06-08 14:10,2
2015-06-08 20:01,2015-06-08 20:03,2
2015-06-08 21:00,2015-06-08 21:02,2
2015-06-09 20:38,2015-06-09 20:40,2
2015-06-11 17:11,2015-06-11 17:13,2
2015-06-11 19:58,2015-06-11 20:00,2
2015-06-12 16:54,2015-06-12 16:56,2
2015-06-14 13:30,2015-06-14 13:32,2
2015-06-17 03:16,2015-06-17 03:18,2
2015-06-17 16:31,2015-06-17 16:33,2
2015-06-19 17:33,2015-06-19 17:35,2
2015-06-21 11:05,2015-06-21 11:07,2
2015-06-21 11:48,2015-06-21 11:50,2
2015-06-21 13:54,2015-06-21 13:56,2
2015-06-21 21:38,2015-06-21 21:40,2
