Date,GapStart,GapEnd,CompareStart,CompareEnd
2014-02-06,2014-02-06 04:35,2014-02-06 18:13,2014-02-06 18:15,2014-02-06 23:00
2014-03-20,2014-03-20 11:40,2014-03-20 23:59,2014-03-20 06:00,2014-03-20 11:30
2014-03-21,2014-03-21 00:00,2014-03-21 18:35,2014-03-21 18:40,2014-03-21 23:00
2014-03-24,2014-03-24 07:19,2014-03-24 20:18,2014-03-24 20:20,2014-03-24 23:50
2014-06-27,2014-06-27 00:00,2014-06-27 18:11,2014-06-27 18:15,2014-06-27 23:55
2014-07-14,2014-07-14 06:50,2014-07-14 23:59,2014-07-14 00:00,2014-07-14 06:30
2014-07-15,2014-07-15 00:00,2014-07-15 06:57,2014-07-15 07:00,2014-07-15 23:00
2014-08-26,2014-08-26 00:00,2014-08-26 09:37,2014-08-26 10:00,2014-08-26 23:59
2014-09-17,2014-09-17 15:25,2014-09-17 23:47,2014-09-17 06:00,2014-09-17 15:15
2014-10-31,2014-10-31 12:50,2014-10-31 00:00,2014-10-31 06:00,2014-10-31 12:40
