Date,GapStart,GapEnd,GapStartDelta,GapEndDelta,Meter1,Meter2,Meter3,Meter4,Meter5,Meter6,Meter7,Meter8,Meter9
2014/02/03, 2014/02/03 14:06,2014/02/03 14:24,120,50,ip/slinear,ip/slinear,mean/24,mean/24,mean/24,mean/24,mean/40,median/120,mean/24
2014/02/03, 2014/02/03 15:17,2014/02/03 15:41,40,50,ip/pchip,mean/30,mean/30,mean/30,ip/slinear,mean/30,mean/25,ip/slinear,mean/30
2014/02/03, 2014/02/03 16:51,2014/02/03 17:24,60,120,mean/40,mean/40,mean/40,mean/40,mean/40,mean/40,mean/40,mean/40,mean/40
2014/02/05, 2014/02/05 19:32,2014/02/05 19:34,60,60,locf,locf,locf,locf,locf,locf,locf,locf,locf
2014/02/15, 2014/02/15 11:27,2014/02/15 11:51,60,50,mean/25,locf,locf,ip/pchip,locf,locf,locf,locf,locf
2014/03/07, 2014/03/07 16:58,2014/03/07 17:05,60,50,mean/15,locf,locf,mean/15,locf,locf,mean/20,locf,locf
2014/06/11, 2014/06/11 13:54,2014/06/11 13:59,60,50,ip/slinear,locf,locf,mean/10,locf,locf,mean/20,ip/slinear,locf
2014/06/29, 2014/06/29 14:30,2014/06/29 14:42,60,50,mean/15,locf,locf,mean/50,mean/15,locf,locf,median/40,locf
2014/07/09, 2014/07/09 01:19,2014/07/09 01:21,60,50,locf,locf,locf,locf,locf,locf,locf,locf,locf
2014/07/21, 2014/07/21 13:36,2014/07/21 13:49,60,50,locf,locf,mean/40,locf,locf,locf,mean/20,mean/40,locf
2014/08/25, 2014/08/25 23:44,2014/08/25 23:59,60,50,locf,locf,locf,locf,locf,locf,locf,locf,locf
2014/09/23, 2014/09/23 16:41,2014/09/23 17:08,120,50,mean/30,locf,median/50,mean/50,locf,locf,mean/40,mean/40,locf
2014/09/29, 2014/09/29 21:32,2014/09/29 21:46,120,50,ip/slinear,locf,median/50,mean/50,locf,locf,mean/60,mean/60,locf
2014/10/27, 2014/10/27 16:31,2014/10/27 16:33,60,50,locf,locf,locf,locf,locf,locf,locf,locf,locf
2014/10/29, 2014/10/29 16:21,2014/10/29 16:27,60,50,locf,locf,locf,locf,locf,locf,locf,locf,locf
2014/10/29, 2014/10/29 16:41,2014/10/29 16:45,60,50,locf,locf,locf,locf,locf,locf,locf,locf,locf
2014/10/29, 2014/10/29 19:29,2014/10/29 19:36,60,30,locf,mean/15,locf,locf,locf,locf,locf,ip/slinear,ip/slinear
2014/10/30, 2014/10/30 07:21,2014/10/30 07:28,30,30,locf,mean/15,locf,locf,locf,locf,locf,ip/slinear,ip/slinear
2014/10/30, 2014/10/30 07:58,2014/10/30 08:04,20,30,locf,mean/15,locf,locf,locf,locf,locf,locf,locf
